task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
A_helpful_vs_harmful,mean_S1,overall,3,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.435004003655694,0.44565032291406614,0.3847184986595174,0.5857142857142857,598,1836,812,1148,False,True
A_helpful_vs_harmful,mean_S1,receiver_A,3,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.30863202715970317,0.2646761679084629,0.1984196663740123,0.47780126849894294,84,913,247,226,False,True
A_helpful_vs_harmful,mean_S1,receiver_B,3,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.4833415587961931,0.5363693911954398,0.5994897959183674,0.6629055007052186,249,314,239,470,False,True
A_helpful_vs_harmful,mean_S1,receiver_C,3,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.5231759543040007,0.6168073849667715,0.42601319509896324,0.5809768637532133,265,609,326,452,False,True
B_replace_local,mean_S1,overall,3,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5371042433589508,0.08363007570848982,0.0939050769818043,0.376530612244898,17915,7121,1222,738,False,True
B_replace_local,mean_S1,receiver_A,3,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.6142955019811862,0.09786252684197026,0.08656195462478185,0.5243128964059197,5372,2617,225,248,False,True
B_replace_local,mean_S1,receiver_B,3,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.44060161612804744,0.06545921150088425,0.05395172740179839,0.1607898448519041,6608,1999,595,114,False,True
B_replace_local,mean_S1,receiver_C,3,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.581283732745282,0.1028255847271154,0.13051023950017354,0.4832904884318766,5935,2505,402,376,False,True
A_helpful_vs_harmful,mean_S2,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4036088449348515,0.4225412617810493,0.3823631927500871,0.5596938775510204,662,1772,863,1097,False,True
A_helpful_vs_harmful,mean_S2,receiver_A,1,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.3733695801993719,0.337893008068362,0.19901960784313724,0.42917547568710357,180,817,270,203,False,True
A_helpful_vs_harmful,mean_S2,receiver_B,1,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.47983676005280995,0.5592139721900702,0.5653753026634383,0.6586741889985895,204,359,242,467,False,True
A_helpful_vs_harmful,mean_S2,receiver_C,1,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.3984208173277723,0.44391495915263135,0.4173998044965787,0.5488431876606684,278,596,351,427,False,True
B_replace_local,mean_S2,overall,1,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.45130524289920476,0.06412502461647565,0.060674157303370786,0.4545918367346939,11242,13794,1069,891,False,True
B_replace_local,mean_S2,receiver_A,1,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.2765075763530034,0.03558222004336545,0.020939086294416244,0.20930232558139536,3360,4629,374,99,False,True
B_replace_local,mean_S2,receiver_B,1,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.6361360345164653,0.1253963987370809,0.09611122305057425,0.6727785613540197,4121,4486,232,477,False,True
B_replace_local,mean_S2,receiver_C,1,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.39539346239598433,0.06379647421354084,0.0630756908289948,0.40488431876606684,3761,4679,463,315,False,True
A_helpful_vs_harmful,mean_S3,overall,4,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4208422769272048,0.4383249421958775,0.37984753065959564,0.5846938775510204,563,1871,814,1146,False,True
A_helpful_vs_harmful,mean_S3,receiver_A,4,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.34715139074729473,0.31031159054466306,0.19793459552495696,0.48625792811839325,65,932,243,230,False,True
A_helpful_vs_harmful,mean_S3,receiver_B,4,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.4924655595277164,0.5655100607821023,0.5925925925925926,0.6544428772919605,244,319,245,464,False,True
A_helpful_vs_harmful,mean_S3,receiver_C,4,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.4698811127517015,0.5241525640779896,0.4216417910447761,0.5809768637532133,254,620,326,452,False,True
B_replace_local,mean_S3,overall,4,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5463529660146531,0.08781301289371998,0.07791086651559297,0.3683673469387755,16491,8545,1238,722,False,True
B_replace_local,mean_S3,receiver_A,4,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5589863652374023,0.08042034601454254,0.05848949460533787,0.4355179704016913,4673,3316,267,206,False,True
B_replace_local,mean_S3,receiver_B,4,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5147650180757848,0.07596024716618424,0.06968362034441329,0.2454160789844852,6284,2323,535,174,False,True
B_replace_local,mean_S3,receiver_C,4,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5745575908575884,0.12163341758077802,0.10529556650246305,0.43958868894601544,5534,2906,436,342,False,True
A_helpful_vs_harmful,mean_S4,overall,7,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.37858232857645935,0.3956210520094209,0.32554257095158595,0.3979591836734694,818,1616,1180,780,False,True
A_helpful_vs_harmful,mean_S4,receiver_A,7,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.26203345766686953,0.2308811684837268,0.16806722689075632,0.38054968287526425,106,891,293,180,False,True
A_helpful_vs_harmful,mean_S4,receiver_B,7,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.5794116247084554,0.6478703807197428,0.6825053995680346,0.44569816643159377,416,147,393,316,False,True
A_helpful_vs_harmful,mean_S4,receiver_C,7,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.3821113222309154,0.49420197568834656,0.3294663573085847,0.36503856041131105,296,578,494,284,False,True
B_replace_local,mean_S4,overall,7,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5156492406037347,0.07956327724087102,0.07489500699953336,0.32755102040816325,17106,7930,1318,642,False,True
B_replace_local,mean_S4,receiver_A,7,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5467793056890857,0.08211817914200745,0.05810122791254867,0.41014799154334036,4844,3145,279,194,False,True
B_replace_local,mean_S4,receiver_B,7,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5040481859240429,0.07192076201663,0.06676204101096805,0.19746121297602257,6650,1957,569,140,False,True
B_replace_local,mean_S4,receiver_C,7,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5252840251465052,0.10882728742484908,0.09821428571428571,0.39588688946015427,5612,2828,470,308,False,True
A_helpful_vs_harmful,mean_S5,overall,12,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.37532427514966543,0.3946925173316469,0.32321955330804886,0.39132653061224487,828,1606,1193,767,False,True
A_helpful_vs_harmful,mean_S5,receiver_A,12,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.2510597331105367,0.23311027637609832,0.1590909090909091,0.35517970401691334,109,888,305,168,False,True
A_helpful_vs_harmful,mean_S5,receiver_B,12,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.580734379344986,0.6415887359584339,0.695364238410596,0.44428772919605075,425,138,394,315,False,True
A_helpful_vs_harmful,mean_S5,receiver_C,12,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.3826834046107781,0.49092111889346074,0.3287037037037037,0.36503856041131105,294,580,494,284,False,True
B_replace_local,mean_S5,overall,12,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5170108716917027,0.07996940944110627,0.07698764839908862,0.32755102040816325,17339,7697,1318,642,False,True
B_replace_local,mean_S5,receiver_A,12,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5454847137858954,0.07924548581818158,0.05934809348093481,0.4080338266384778,4930,3059,280,193,False,True
B_replace_local,mean_S5,receiver_B,12,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5100361941759283,0.07364966484007857,0.07365299060800791,0.21015514809590974,6733,1874,560,149,False,True
B_replace_local,mean_S5,receiver_C,12,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5200119701750752,0.10801481972386603,0.097911227154047,0.3856041131105398,5676,2764,478,300,False,True
